!CSV A.01.01
!Agilent Technologies,E8361C,US49010277,A.09.20.08
!Agilent E8361C: A.09.20.08
!Date: Thursday, May 03, 2012 14:00:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(REAL),S22(IMAG)
39151300000,-0.33925134,0.31579289
39263775000,-0.33909306,0.31701475
39376250000,-0.33456418,0.32083198
39488725000,-0.33850208,0.31993181
39601200000,-0.33714432,0.32001385
39713675000,-0.33110639,0.3217262
39826150000,-0.33496195,0.32011345
39938625000,-0.33379507,0.32060423
40051100000,-0.33411965,0.32189977
40163575000,-0.32994127,0.31949013
40276050000,-0.33134708,0.32074159
40388525000,-0.33427176,0.3230544
40501000000,-0.32875958,0.32248917
40613475000,-0.33156103,0.32502761
40725950000,-0.33137244,0.32485184
40838425000,-0.32355306,0.32467178
40950900000,-0.32960284,0.32645273
41063375000,-0.32840171,0.32453978
41175850000,-0.32126632,0.32491896
41288325000,-0.32707256,0.32574153
41400800000,-0.3249183,0.32441312
41513275000,-0.32101849,0.32629171
41625750000,-0.32749414,0.32767236
41738225000,-0.32180366,0.3267552
41850700000,-0.32022688,0.33038139
41963175000,-0.32574067,0.33107078
42075650000,-0.31778041,0.33011219
42188125000,-0.31839392,0.33303794
42300600000,-0.32251039,0.33168933
42413075000,-0.31476435,0.33087039
42525550000,-0.31791717,0.33376291
42638025000,-0.32144469,0.33310589
42750500000,-0.31416172,0.33210051
42862975000,-0.31807837,0.33494598
42975450000,-0.31939715,0.33627966
43087925000,-0.31311974,0.3347612
43200400000,-0.316089,0.33669239
43312875000,-0.31424296,0.33931172
43425350000,-0.3103027,0.33702713
43537825000,-0.31159538,0.33728972
43650300000,-0.309818,0.34198073
43762775000,-0.30961031,0.33863848
43875250000,-0.30828589,0.33764961
43987725000,-0.30362704,0.34346569
44100200000,-0.30771139,0.3419838
44212675000,-0.30623809,0.34115225
44325150000,-0.29850769,0.34784612
44437625000,-0.30577835,0.34612545
44550100000,-0.30334401,0.3433415
44662575000,-0.29502422,0.34868333
44775050000,-0.30471808,0.34920847
44887525000,-0.29428104,0.34334901
45000000000,-0.29625478,0.35022119
END

